feature,layer,neuron
prime-factors,2,139
prime-factors,2,352
prime-factors,2,2650
prime-factors,2,4500
prime-factors,2,5717
human-rights,1,1496
human-rights,1,3964
human-rights,1,4408
human-rights,1,4830
human-rights,1,7445
social-security,2,611
social-security,2,4081
social-security,2,6819
social-security,2,7225
social-security,2,7613
federal-government,3,303
federal-government,3,2886
federal-government,3,3451
federal-government,3,4728
federal-government,3,7947
second-derivative,2,1427
second-derivative,2,2110
second-derivative,2,3830
second-derivative,2,3969
second-derivative,2,6646
social-media,3,1042
social-media,3,1230
social-media,3,1463
social-media,3,2471
social-media,3,4656
blood-pressure,2,17
blood-pressure,2,663
blood-pressure,2,902
blood-pressure,2,5639
blood-pressure,2,5820
north-america,1,2124
north-america,1,3567
north-america,1,6457
north-america,1,6675
north-america,1,6692
living-room,3,163
living-room,3,3521
living-room,3,3558
living-room,3,5671
living-room,3,7053
gene-expression,1,901
gene-expression,1,1185
gene-expression,1,3596
gene-expression,1,6105
gene-expression,1,6765
mental-health,1,161
mental-health,1,3652
mental-health,1,4659
mental-health,1,5996
mental-health,1,8163
trial-court,2,140
trial-court,2,2296
trial-court,2,3927
trial-court,2,4008
trial-court,2,6312
public-health,2,293
public-health,2,2289
public-health,2,3329
public-health,2,4382
public-health,2,5879
high-school,2,1462
high-school,2,4793
high-school,2,5886
high-school,2,6580
high-school,2,7035
cell-lines,3,103
cell-lines,3,802
cell-lines,3,3930
cell-lines,3,5738
cell-lines,3,7788
credit-card,2,1039
credit-card,2,1177
credit-card,2,2537
credit-card,2,5967
credit-card,2,7964
side-effects,1,57
side-effects,1,2576
side-effects,1,4530
side-effects,1,6047
side-effects,1,6266
control-group,2,3455
control-group,2,4414
control-group,2,5234
control-group,2,5709
control-group,2,6175
clinical-trials,2,911
clinical-trials,2,3502
clinical-trials,2,3712
clinical-trials,2,7094
clinical-trials,2,7889
magnetic-field,1,965
magnetic-field,1,1618
magnetic-field,1,6053
magnetic-field,1,6135
magnetic-field,1,6647
third-party,2,1668
third-party,2,4813
third-party,2,5274
third-party,2,5794
third-party,2,7629
