model,dataset,feature,layer,agg,loc,k,test_mcc,test_f1_score,test_precision,test_recall,coef,neuron
pythia-6.9b,wikidata_sorted_occupation_athlete.pyth.128.5000,association football player,19,max,mlp.hook_post,1,0.8723107680581776,0.8893280632411067,0.9782608695652174,0.8152173913043478,12.316481,10761
pythia-6.9b,wikidata_sorted_occupation_athlete.pyth.128.5000,baseball player,19,max,mlp.hook_post,1,0.8693890385607322,0.8888888888888888,0.9626556016597511,0.8256227758007118,12.106168,549
pythia-6.9b,wikidata_sorted_occupation_athlete.pyth.128.5000,baseball player,20,max,mlp.hook_post,1,0.8508430742632211,0.8740458015267176,0.9423868312757202,0.8149466192170819,12.066226,13139
pythia-6.9b,wikidata_sorted_occupation_athlete.pyth.128.5000,baseball player,21,max,mlp.hook_post,1,0.8272866490245298,0.8532818532818532,0.9324894514767933,0.7864768683274022,11.29498,16105
pythia-6.9b,wikidata_sorted_occupation_athlete.pyth.128.5000,American football player,20,max,mlp.hook_post,1,0.8153000990286461,0.8477508650519031,0.9176029962546817,0.7877813504823151,11.799308,10306
pythia-6.9b,wikidata_sorted_occupation_athlete.pyth.128.5000,ice hockey player,20,max,mlp.hook_post,1,0.7744443892864911,0.8066914498141263,0.9234042553191489,0.7161716171617162,10.730627,2367
pythia-6.9b,wikidata_sorted_sex_or_gender.pyth.128.6000,female,12,max,mlp.hook_post,1,0.9498274537957756,0.9738636363636364,0.9965116279069768,0.9522222222222222,17.750957,4043
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,17,max,mlp.hook_post,1,0.7848760827593265,0.8762254901960784,0.959731543624161,0.8060879368658399,14.188927,5653
pythia-6.9b,wikidata_sorted_sex_or_gender.pyth.128.6000,male,9,max,mlp.hook_post,1,0.7454832218856192,0.8522378908645003,0.9507523939808481,0.7722222222222223,13.740647,996
pythia-6.9b,wikidata_sorted_occupation.pyth.128.6000,athlete,9,max,mlp.hook_post,1,0.7829941416093861,0.8112149532710281,0.8930041152263375,0.7431506849315068,11.93753,12997
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,false,14,max,mlp.hook_post,1,0.6919494733083441,0.8051118210862619,0.9662576687116564,0.6900328587075575,11.010353,205
pythia-6.9b,wikidata_sorted_occupation.pyth.128.6000,actor,9,max,mlp.hook_post,1,0.7222237492560692,0.7687188019966723,0.7751677852348994,0.7623762376237624,10.875046,4502
pythia-6.9b,wikidata_sorted_occupation.pyth.128.6000,singer,11,max,mlp.hook_post,1,0.7049523913398199,0.7380497131931166,0.8654708520179372,0.6433333333333333,9.797108,12667
pythia-6.9b,wikidata_sorted_occupation_athlete.pyth.128.5000,basketball player,19,max,mlp.hook_post,1,0.5705885545300837,0.6546052631578947,0.7132616487455197,0.6048632218844985,8.143844,3520
pythia-6.9b,wikidata_sorted_occupation.pyth.128.6000,journalist,9,max,mlp.hook_post,1,0.6054755652697862,0.653211009174312,0.7876106194690266,0.5579937304075235,8.728869,3974
pythia-6.9b,wikidata_sorted_occupation.pyth.128.6000,politician,9,max,mlp.hook_post,1,0.5740938565534484,0.6202783300198806,0.7609756097560976,0.5234899328859061,6.798583,613
pythia-6.9b,wikidata_sorted_political_party.pyth.128.3000,Republican Party,7,max,mlp.hook_post,1,0.22512247179808548,0.5772946859903382,0.6322751322751323,0.5311111111111111,1.8690517,3710
pythia-6.9b,wikidata_sorted_political_party.pyth.128.3000,Democratic Party,18,max,mlp.hook_post,1,0.3001225239993905,0.5609756097560976,0.71875,0.46,1.4787625,15606
