layer,neuron,test_mcc
1,1117,0.998657327028896
1,1079,0.9986550999226772
1,111,0.9973186705998264
1,749,0.9959840091200889
1,828,0.9946533211589706
1,1926,0.9946533211589706
1,1761,0.994633736771317
1,709,0.9933265854461832
1,1644,0.9933012841286317
2,2026,0.9933012841286317
2,1535,0.9933012841286317
1,1494,0.9933012841286317
1,1748,0.9920037808703182
2,1136,0.9920037808703182
1,702,0.9920037808703182
2,1047,0.9919727965780535
1,953,0.9906848864773178
5,27,0.9906482528935814
2,575,0.9893698814689665
1,367,0.9880587452013986
3,1843,0.9880109130101395
1,1250,0.9854479970760662
2,238,0.9840839605658703
1,827,0.9828524799817793
2,1142,0.9827826431046657
2,652,0.9827826431046657
2,1402,0.9814851252826131
1,1956,0.9802720341759834
4,1458,0.9801913871003504
1,36,0.9789874137256388
2,1597,0.9789014087053487
1,630,0.9777065022483363
1,670,0.9777065022483363
2,1698,0.9776151703905261
2,776,0.97515572907696
1,1852,0.97515572907696
2,585,0.97515572907696
3,1639,0.9750538358921039
2,1944,0.9748692013374924
2,1232,0.9738858291644985
2,105,0.9737787010093012
2,103,0.972619561785693
1,1382,0.9725072288056059
1,1799,0.9725072288056059
2,925,0.9700978497023146
1,87,0.9700978497023146
4,1106,0.9698587285342519
1,124,0.9675904443177165
2,967,0.9675904443177165
2,666,0.964954257388028
2,653,0.9626179701854413
3,1510,0.9609277075181428
1,655,0.9589250959815859
2,923,0.9589250959815859
1,1724,0.9587574340034344
3,1221,0.9585955769175792
3,734,0.9580724421928709
5,616,0.9580072558629034
2,1984,0.9575284703525223
2,1051,0.9568965453585395
1,1902,0.956480288964665
1,218,0.9552629665216523
2,1962,0.9550808038687473
2,205,0.9526467036896862
2,931,0.9502260337600053
1,1918,0.94802910433467
2,1413,0.9454244498822085
3,1883,0.94440774771312
4,928,0.9423889384736618
3,56,0.9402151409772855
5,1615,0.9386055613287819
4,1811,0.9361936312434651
3,1409,0.9359766652116369
3,1531,0.934809950460351
4,536,0.9319636575143146
4,2015,0.9307975353462645
4,584,0.9287913974746623
4,1498,0.9283808959648853
3,1865,0.9267293803488141
4,1875,0.9262638642981481
2,1440,0.9255268511985371
2,450,0.9187964622218202
5,1446,0.9152947798541844
3,696,0.911299719742114
5,2014,0.9092169453086857
3,108,0.9062593433854699
3,2006,0.904901886019403
3,1500,0.904799130941486
3,724,0.9037125383643637
3,346,0.9030030608769091
4,1461,0.9029244469174559
4,1643,0.9003214470503625
4,1551,0.8958360489928912
3,1857,0.8953887183702398
5,452,0.8936822573999782
3,675,0.8911884445504328
3,130,0.8911884445504328
4,1849,0.8894453223199775
5,1746,0.8878506210691754
4,1460,0.8859827962477783
